area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,76.08333398695642
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,327.20327895461435
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,180.6578632676953
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,107.81477650774956
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,74.69770086991886
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,113.05543683068828
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,263.4265708300536
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,71.86309556153222
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,117.52121013055493
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,172.1200314923414
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,111.51895044966774
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,141.2025326891447
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,237.96795786793638
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,72.14337623233851
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,116.779589377305
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,363.10178406487915
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,26.0188935939063
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,73.92198237054225
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,67.81044545655439
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,201.8598866979906
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,78.4832042325055
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,127.58634745937576
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,55.38925917343842
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,95.6722969618354
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,126.41262795186708
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,143.1532786535476
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,126.52532030222699
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,109.64061432049508
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,80.16505385109505
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,129.49943103312765
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,80.99450765952406
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,84.13928092086371
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,85.45169529265345
