area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,68.8407505426267
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,353.52246018147036
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,217.67869098948273
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,98.59380783527381
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,65.99330669669465
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,119.58379008820631
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,303.6604568642075
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,55.31428768968253
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,112.71350903809699
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,185.04321873911155
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,104.81397383086806
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,161.36045061074805
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,272.1056317411802
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,62.277595853846435
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,105.9108999565749
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,405.2048882451768
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,10.755551807840249
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,65.69668752175512
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,55.14279334308953
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,264.92659531709
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,65.93614191449697
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,121.63121506093269
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,80.51224316745663
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,83.13226115698447
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,126.479426283783
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,150.83162349998818
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,120.08776594159575
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,102.24155863197315
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,68.22273320240356
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,130.96971992540958
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,65.36449409252035
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,80.55953089314797
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,124.24330154867016
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,221.84685827539806
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,58.218896317812245
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,131.51433921666637
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,464.4291268543815
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,61.64878324967213
Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,121.95702532570519
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,72.49929660327723
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,168.13326545993394
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,152.87876039515294
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,134.1896800172713
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,57.179134974303075
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,121.43813018643732
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,79.07324655600868
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,60.21966369473051
Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,33.62177975184774
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,46.59285500378391
Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,250.21138550939094
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,168.21518224509572
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,118.75138542314707
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,67.65108538042693
Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,116.77160543162793
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,51.91997501211793
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,54.21736156397571
Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,235.91990188241314
Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,167.93986552049694
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,127.56555714553863
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,70.26987009756832
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,153.62736752074002
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,69.69822227559166
Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,65.42165887471799
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,111.38792378359952
Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,109.00862044657994
Built-up  Area,Ready To Move,Begur Road,2 BHK,,1050,2.0,2.0,58.83691365803535
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2.0,2.0,59.580055826605
Super built-up  Area,Ready To Move,Binny Pete,3 BHK,Shestlo,2465,5.0,2.0,211.1513986325594
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,105.61869288112426
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,71.36679622327513
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2091,3.0,2.0,141.74242313055947
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1477,2.0,1.0,83.43967559587519
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,144.82932136923338
Super built-up  Area,18-Feb,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,73.11731394350035
Super built-up  Area,Ready To Move,Cox Town,4 BHK,DantsAp,1860,4.0,3.0,151.12322743293558
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1095,2.0,2.0,61.40932885693027
Super built-up  Area,18-Aug,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,69.65185275734518
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,,1400,3.0,2.0,102.24155863197315
Plot  Area,Ready To Move,Malleshwaram,4 Bedroom,,2400,3.0,2.0,212.522930677658
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,ColeyNa,1200,3.0,1.0,145.35399653046034
Built-up  Area,Ready To Move,Garudachar Palya,2 BHK,UnlisAc,1050,2.0,1.0,59.64801587275385
Plot  Area,Ready To Move,Naganathapura,2 Bedroom,,1200,2.0,0.0,122.76812754042368
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,58.83691365803535
Super built-up  Area,18-Jun,Bommasandra,3 BHK,SSestth,1295,2.0,1.0,73.0356852359002
Plot  Area,18-Mar,Gattahalli,3 Bedroom,Miiewa ,2000,2.0,2.0,166.26004659383696
Super built-up  Area,20-Dec,Whitefield,3 BHK,Somns T,1386,3.0,2.0,101.44125168120584
Super built-up  Area,Ready To Move,Vittal Mallya Road,1 BHK,Gantspa,950,1.0,0.0,31.345668662950743
Super built-up  Area,18-Aug,Dasanapura,3 BHK,Tavenew,843,2.0,1.0,47.197203682555745
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,184.22163632538343
Built-up  Area,Ready To Move,Gottigere,2 BHK,,1280,2.0,1.0,72.79591577821674
Super built-up  Area,Ready To Move,Shingapura,2 BHK,,1010,2.0,1.0,57.36142458484727
Super built-up  Area,Ready To Move,Uttarahalli,1 BHK,,793,1.0,1.0,21.55969564319888
Built-up  Area,Ready To Move,Brookefield,2 BHK,Bhiya N,1100,2.0,1.0,62.506254982637095
Super built-up  Area,Ready To Move,Brookefield,2 BHK,,1050,2.0,3.0,58.025811443316854
Super built-up  Area,Ready To Move,Sunkadakatte,7 BHK,,40,7.0,1.0,118.89644187688816
Built-up  Area,Ready To Move,Basavanapura,2 BHK,,1220,2.0,2.0,68.55492663163837
Super built-up  Area,17-Jun,Electronic City,1 BHK,Prarkun,630,1.0,1.0,12.24183614497953
Super built-up  Area,18-Dec,Raja rajeswarinagar 5th Stage,3 BHK,,1444,3.0,2.0,104.7568090486704
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1710,3.0,2.0,119.96264111324922
Plot  Area,Ready To Move,Seegehalli,4 Bedroom,,800,3.0,1.0,121.8703813761129
Super built-up  Area,18-Dec,Hosur Road,3 BHK,PuendWe,1745,3.0,1.0,122.77451070488598
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Prarkhi,870,2.0,0.0,50.169457291892705
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1250,2.0,3.0,68.8410656075683
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1393,3.0,2.0,101.8414051565895
Super built-up  Area,Ready To Move,RMV Extension,2 BHK,S alsPe,1000,2.0,2.0,55.97867454815212
Built-up  Area,Ready To Move,"Sarjapur Road, ",2 BHK,,1371,2.0,1.0,77.99791095820424
Super built-up  Area,19-Dec,Whitefield,3 BHK,Goted U,2140,3.0,2.0,144.54349745824507
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,,1450,3.0,3.0,104.28869552713789
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,,1580,3.0,1.0,113.3423216422713
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Saaveri,1368,2.0,1.0,77.82641661161125
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2.0,1.0,64.10686888417172
Super built-up  Area,18-Dec,Rachenahalli,2 BHK,Shileve,1171,2.0,2.0,65.75385230395278
Plot  Area,Ready To Move,Jigani,3 Bedroom,,1200,2.0,1.0,121.33932305042367
Plot  Area,Ready To Move,SIPCOT 1,2 Bedroom,,1500,2.0,0.0,139.9175621997231
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1564,3.0,1.0,112.42768512710867
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1345,2.0,1.0,75.89392434578343
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,,1512,2.0,2.0,84.62934075807496
Super built-up  Area,18-Dec,Electronic City Phase II,2 BHK,Assha A,775,2.0,2.0,43.116598553677555
Plot  Area,18-Apr,TC Palaya,3 Bedroom,,1200,2.0,0.0,122.15042526514216
Super built-up  Area,18-Apr,Electronic City,2 BHK,,1090,2.0,1.0,61.934607160660455
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,,800,2.0,1.0,45.35682032333768
Plot  Area,Ready To Move,Ejipura,8 Bedroom,,969,5.0,3.0,175.4675629970285
Super built-up  Area,18-Mar,Kothanur,2 BHK,,1095,2.0,2.0,61.40932885693027
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1483,2.0,3.0,82.7781621349057
Super built-up  Area,21-Mar,Yelahanka,2 BHK,Goues A,1252,2.0,2.0,70.38419966196363
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,3375,2.0,1.0,245.05502205506295
Plot  Area,Ready To Move,Kasturi Nagar,6 Bedroom,,2400,6.0,3.0,282.5204443524864
Built-up  Area,Ready To Move,Iblur Village,4 BHK,Emine P,3650,4.0,0.0,255.88149421091094
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,Vayali ,900,2.0,1.0,51.07329854310415
Plot  Area,Ready To Move,ITPL,4 Bedroom,,2440,5.0,2.0,262.8388689256379
Super built-up  Area,17-Jul,Channasandra,2 BHK,,1010,2.0,2.0,56.55032237012877
Super built-up  Area,Ready To Move,Hulimavu,3 BHK,Grure S,1680,3.0,3.0,117.43659543260078
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,,2400,3.0,0.0,214.76283738237652
Super built-up  Area,Ready To Move,BSK STAGE 2,3 BHK,,1990,2.0,1.0,112.7652088632772
Super built-up  Area,Ready To Move,Reliaable Tranquil Layout,3 BHK,NSnexav,1523,3.0,2.0,109.27282684228592
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,Pride S,2439,4.0,3.0,184.22163632538343
Plot  Area,Ready To Move,EPIP Zone,3 Bedroom,,4930,4.0,1.0,382.5933076077864
Plot  Area,Ready To Move,ITI Employees Layout,5 Bedroom,,1200,5.0,3.0,190.5257345105336
Super built-up  Area,18-Aug,Whitefield,2 BHK,SSdhimr,1195,2.0,2.0,67.12580707669674
Super built-up  Area,Ready To Move,B Narayanapura,2 BHK,Neisear,1050,2.0,2.0,58.83691365803535
Built-up  Area,Ready To Move,Electronic City,2 BHK,,550,1.0,1.0,7.050951293884822
Built-up  Area,Ready To Move,Devanahalli,1 BHK,Cerdsga,540,1.0,1.0,7.097005747189698
Plot  Area,Ready To Move,Ramamurthy Nagar,5 Bedroom,,1200,4.0,3.0,166.51106103049693
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1294,2.0,1.0,73.59622272898406
Built-up  Area,Ready To Move,Chandapura,3 BHK,Riiew L,1345,3.0,2.0,99.09749561110159
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1100,2.0,1.0,62.506254982637095
Plot  Area,Ready To Move,Hoodi,3 Bedroom,,1500,3.0,3.0,160.88122676032276
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Paune F,1560,3.0,2.0,111.38792378359952
Plot  Area,Ready To Move,Bannerghatta Road,5 Bedroom,,780,6.0,3.0,190.53119946755103
Built-up  Area,Ready To Move,Thanisandra,3 BHK,,1565,2.0,2.0,87.65907421455118
Super built-up  Area,15-Oct,Thippasandra main,3 BHK,,1790,3.0,,126.1580281184994
Plot  Area,Immediate Possession,Chikkaballapur,,PrandHo,1200 - 2000,,,97.60469345941628
Super built-up  Area,19-Sep,Kanakpura Road,3 BHK,Soazak ,1594.98,3.0,1.0,114.19865007959233
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,RAncyeg,1055,2.0,1.0,59.93383978374219
