area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,63.9658203125
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,329.6923828125
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,225.8212890625
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,72.8505859375
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,85.359375
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,121.5732421875
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,281.55859375
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,56.7802734375
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,98.1650390625
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,130.6318359375
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,99.986328125
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,147.396484375
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,257.1796875
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,64.255859375
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,87.634765625
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,381.291015625
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,8.5068359375
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,49.216796875
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,103.3662109375
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,301.1328125
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,52.806640625
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,102.7392578125
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,403758165017.53906
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,48.189453125
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,123.1884765625
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,129.921875
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,90.4267578125
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,83.0654296875
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,74.26953125
