area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Roeekbl,1225,2.0,2.0,64.12107256505652
Plot  Area,Ready To Move,Akshaya Nagar,9 Bedroom,,2400,9.0,2.0,323.77411064338776
Plot  Area,18-Apr,Hennur Road,4 Bedroom,Saandtt,1650,5.0,2.0,223.69965717128775
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,Winerri,1322,3.0,1.0,73.14650267286628
Super built-up  Area,Ready To Move,Konanakunte,2 BHK,AmageSa,1161,2.0,1.0,85.75473878240774
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,760,3.0,1.0,117.30444719810045
Built-up  Area,Ready To Move,Vijayanagar,4 Bedroom,,4500,4.0,1.0,286.25170676023754
Built-up  Area,Ready To Move,BEML Layout,2 BHK,G aceer,960,2.0,0.0,57.13417070496483
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1569,3.0,1.0,97.86537472710054
Built-up  Area,Ready To Move,NRI Layout,3 BHK,,2400,4.0,,135.7796308781169
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1445,3.0,2.0,99.93807485139845
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Maensar,1505,3.0,2.0,144.29580553985494
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,6.0,2.0,258.8057189358422
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,Gaodsch,1096,2.0,1.0,64.23912262699064
Built-up  Area,Ready To Move,Kanakapura,3 BHK,,1450,3.0,1.0,87.5958774708829
Plot  Area,Ready To Move,Narayanapura,9 Bedroom,,2884,10.0,2.0,378.0772838358172
Super built-up  Area,Ready To Move,Magadi Road,1 BHK,Vrenty ,604,1.0,1.0,5.717752092290269
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2.0,2.0,51.406045803671276
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,,957,2.0,0.0,102.05564790463205
Plot  Area,Ready To Move,Hebbal Kempapura,3 Bedroom,,2900,4.0,3.0,302.3163966363112
Built-up  Area,18-Dec,Electronic City,2 BHK,,1160,2.0,1.0,53.16861026981897
Built-up  Area,18-Jul,Hosa Road,3 BHK,Mahesr ,1725,3.0,1.0,103.30138522608381
Plot  Area,Ready To Move,Kengeri Satellite Town Stage 1,1 Bedroom,,450,2.0,0.0,113.93643189460649
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500,2.0,3.0,48.28713322256526
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,1824,3.0,2.0,123.47924819529403
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Leino C,2250,3.0,2.0,131.32846265934833
Built-up  Area,Ready To Move,Ayappa Nagar,3 BHK,Kuave E,1698,3.0,1.0,98.47444575541354
Super built-up  Area,18-Jul,Electronic City,3 BHK,,1400,3.0,2.0,83.37857777041091
Built-up  Area,Ready To Move,Whitefield,2 BHK,,1200,2.0,1.0,73.92863970175813
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Sooneoo,1902.55,3.0,2.0,110.45195319893972
Carpet  Area,Ready To Move,JP Nagar,2 BHK,BSensth,1150,2.0,1.0,77.96574297068507
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Contsci,1430,2.0,2.0,82.34860519488842
Plot  Area,Ready To Move,Kammagondahalli,1 Bedroom,,1215,2.0,0.0,104.43911468653754
Built-up  Area,Ready To Move,Jalahalli,4 BHK,Tahtsla,3083,4.0,2.0,200.88059702860681
Built-up  Area,18-Dec,Electronic City,2 BHK,,1025,2.0,1.0,46.42937051678628
Plot  Area,Ready To Move,Marathahalli,2 Bedroom,,1353,2.0,0.0,142.8955594050886
Plot  Area,Ready To Move,Whitefield,5 Bedroom,,6369,4.0,,440.58358380781755
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Niborik,1085,2.0,1.0,68.1401332111408
Plot  Area,Ready To Move,4th Block Koramangala,2 Bedroom,,1200,2.0,1.0,270.79175670862537
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1289,2.0,2.0,62.409396910174074
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,,1200,4.0,1.0,151.04275080105032
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,,2300,3.0,3.0,140.41766625227925
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691 - 2170,3.0,0.0,132.2172631360116
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,NiarkHy,1021,2.0,2.0,52.701419983254226
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Asareur,1750,3.0,3.0,201.72528369930654
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404,2.0,2.0,65.52568079853734
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1060,2.0,1.0,36.29231616299376
Super built-up  Area,Ready To Move,"C P Cassia Apartment,",2 BHK,,1029,1.0,2.0,41.85408567941985
Built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,,850,2.0,3.0,21.882229596671408
Built-up  Area,19-Oct,Whitefield,4 Bedroom,,3565,4.0,1.0,232.94819576356315
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2134,4.0,2.0,162.79510523065187
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1703,3.0,3.0,100.15017344901386
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Srshq T,1190,2.0,1.0,66.73315352393269
Plot  Area,17-Dec,Hennur Road,3 Bedroom,,700,3.0,1.0,133.98679430400068
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929,2.0,2.0,44.54900368344363
Super built-up  Area,18-May,Bommasandra,2 BHK,SSestth,955,2.0,1.0,30.556771275266087
Plot  Area,Ready To Move,Koramangala,5 Bedroom,,2400,4.0,2.0,315.90574457893075
Plot  Area,19-Dec,Tumkur Road,4 Bedroom,,1200,4.0,2.0,171.78406111457508
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1843,3.0,2.0,107.5177439199542
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1250,2.0,2.0,60.46250542596462
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1893,4.0,3.0,128.36281724378549
Super built-up  Area,Ready To Move,Begur Road,2 BHK,,1240,2.0,2.0,41.042900873979406
Super built-up  Area,Ready To Move,Anandapura,2 BHK,,1151,2.0,1.0,20.109470342241252
Super built-up  Area,Ready To Move,Horamavu Banaswadi,3 BHK,,1560,3.0,2.0,76.61554083534214
Plot  Area,Ready To Move,Anjanapura,5 Bedroom,,600,3.0,2.0,88.17846388075763
Built-up  Area,Ready To Move,Begur Road,2 BHK,,1050,2.0,2.0,31.60571755218956
Super built-up  Area,19-Dec,Hoodi,2 BHK,Caycend,1063,2.0,2.0,51.127410360652675
Super built-up  Area,Ready To Move,Binny Pete,3 BHK,Shestlo,2465,5.0,2.0,237.34065459125674
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,,900,2.0,0.0,68.92775503900029
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2.0,1.0,60.60258368740763
Built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2091,3.0,2.0,130.8806350936504
Super built-up  Area,19-Dec,Kanakapura,3 BHK,GoityEt,1477,2.0,1.0,64.88423912629952
Super built-up  Area,Ready To Move,Varthur,3 BHK,,2145,3.0,2.0,115.00012097555931
Super built-up  Area,18-Feb,Kadugodi,2 BHK,Alestrb,1314,2.0,3.0,47.134870235351855
Super built-up  Area,Ready To Move,Cox Town,4 BHK,DantsAp,1860,4.0,3.0,184.0002688784523
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,Maidsr ,1095,2.0,2.0,60.96447649010756
Super built-up  Area,18-Aug,Old Madras Road,2 BHK,SheldGr,1225,2.0,1.0,54.4761477628703
